osm_id,service_type,amenity_raw,name,lat,lon,district
30361124,school,school,ЕСПУ Гео Милев,42.836859,22.652351,Pernik
30361186,hospital,hospital,Общинска болница Др. Стамен Григоров,42.834715,22.65487,Pernik
30793665,pharmacy,pharmacy,,42.835105,22.650397,Pernik
166600942,pharmacy,pharmacy,,42.670824,23.395137,Sofia (Capital)
166601438,pharmacy,pharmacy,,42.664661,23.390172,Sofia (Capital)
254336319,clinic,clinic,18-ти ДКЦ - филиал металург,42.709896,23.381975,Sofia (Capital)
254336323,hospital,hospital,Здравен център Лечител,42.700216,23.331046,Sofia (Capital)
254336328,hospital,hospital,2-ри ДКЦ,42.691366,23.324067,Sofia (Capital)
254336342,clinic,doctors,Медицински център Д-р Й. С. Грийнберг,42.673835,23.368201,Sofia (Capital)
254336343,hospital,hospital,Медицински център,42.694409,23.28312,Sofia (Capital)
254336345,clinic,doctors,Национален център по наркомании,42.696007,23.224368,Sofia (Capital)
254336346,clinic,doctors,Център за рехабилитация Диел,42.68921,23.307165,Sofia (Capital)
254336347,hospital,hospital,Национален център по физикално лечение и рехабилитация,42.676759,23.269998,Sofia (Capital)
254336354,hospital,hospital,"МБАЛ ""Царица Йоанна"" - обслужване на дипломати и чужденци",42.700561,23.338996,Sofia (Capital)
254336368,clinic,doctors,Медицински център Лора,42.690745,23.31484,Sofia (Capital)
254336387,clinic,doctors,Областен кожновенерологичен диспансер,42.705671,23.333091,Sofia (Capital)
254336398,clinic,clinic,I Областен диспансер за пневмофтизиатрични заболявания,42.702772,23.324445,Sofia (Capital)
254336406,hospital,hospital,"ЦПЗ ""Проф. Н.Шипковенски""",42.70072,23.327229,Sofia (Capital)
254336408,hospital,hospital,Втора Акушеро - гинекологична болница Шейново,42.692645,23.340056,Sofia (Capital)
254336416,clinic,doctors,"Институтска СБАЛ по ендокринология, нефрология и геронтология",42.696407,23.313985,Sofia (Capital)
254336424,clinic,doctors,Център за хемодиализа на диабетно болни,42.696494,23.314214,Sofia (Capital)
254336433,hospital,hospital,IV Работническа болница,42.660728,23.417155,Sofia (Capital)
254336434,clinic,doctors,Национален център по хематология и трансфузиология,42.660486,23.35936,Sofia (Capital)
254336437,clinic,clinic,Клиника по ревматология,42.681348,23.299308,Sofia (Capital)
254336444,clinic,doctors,Областен диспансер за психични болести,42.705571,23.332999,Sofia (Capital)
254336447,hospital,hospital,Институтска СБАЛ по ортопедия Проф. Бойчо Бойчев,42.674457,23.247301,Sofia (Capital)
254336448,clinic,clinic,Медицински център Гургулят,42.687758,23.32269,Sofia (Capital)
254336452,hospital,hospital,IV МБАЛ,42.693111,23.311373,Sofia (Capital)
254336454,clinic,clinic,13-ти ДКЦ,42.676827,23.319212,Sofia (Capital)
254336457,clinic,clinic,18-ти ДКЦ,42.702025,23.369071,Sofia (Capital)
254336459,clinic,clinic,9-ти ДКЦ,42.721284,23.344485,Sofia (Capital)
254336462,clinic,clinic,Медицински център Доверие СБТ,42.665244,23.356242,Sofia (Capital)
254336465,hospital,hospital,17-ти ДКЦ,42.697127,23.347663,Sofia (Capital)
254336468,clinic,doctors,Bodimed,42.6964,23.317874,Sofia (Capital)
254336473,hospital,hospital,Републикански център по протезиране и възстановителна хирургия,42.676301,23.24864,Sofia (Capital)
254336484,clinic,clinic,Торакс 1,42.697851,23.313162,Sofia (Capital)
254336488,clinic,clinic,Медицински център Лора,42.696092,23.319885,Sofia (Capital)
254336489,hospital,hospital,Диагностичен център Пансанус,42.702495,23.304831,Sofia (Capital)
