cell_id,settlement,district,lat,lon,group_key,population
Blagoevgrad:Yakoruda,Yakoruda,Blagoevgrad,42.02528,23.68417,children_0_6,508
Blagoevgrad:Yakoruda,Yakoruda,Blagoevgrad,42.02528,23.68417,seniors_65p,1928
Blagoevgrad:Valkovo,Valkovo,Blagoevgrad,41.58333,23.21667,children_0_6,33
Blagoevgrad:Valkovo,Valkovo,Blagoevgrad,41.58333,23.21667,seniors_65p,126
Blagoevgrad:Tuhovishta,Tuhovishta,Blagoevgrad,41.49947,24.04394,children_0_6,55
Blagoevgrad:Tuhovishta,Tuhovishta,Blagoevgrad,41.49947,24.04394,seniors_65p,211
Blagoevgrad:Strumyani,Strumyani,Blagoevgrad,41.63333,23.2,children_0_6,89
Blagoevgrad:Strumyani,Strumyani,Blagoevgrad,41.63333,23.2,seniors_65p,340
Blagoevgrad:Struma,Struma,Blagoevgrad,41.55,23.23333,children_0_6,42
Blagoevgrad:Struma,Struma,Blagoevgrad,41.55,23.23333,seniors_65p,158
Blagoevgrad:Stara Kresna,Stara Kresna,Blagoevgrad,41.8,23.18333,children_0_6,303
Blagoevgrad:Stara Kresna,Stara Kresna,Blagoevgrad,41.8,23.18333,seniors_65p,1151
Blagoevgrad:Simitli,Simitli,Blagoevgrad,41.88333,23.11667,children_0_6,569
Blagoevgrad:Simitli,Simitli,Blagoevgrad,41.88333,23.11667,seniors_65p,2159
Blagoevgrad:Satovcha,Satovcha,Blagoevgrad,41.61667,23.98333,children_0_6,201
Blagoevgrad:Satovcha,Satovcha,Blagoevgrad,41.61667,23.98333,seniors_65p,764
Blagoevgrad:Sandanski,Sandanski,Blagoevgrad,41.56667,23.28333,children_0_6,2411
Blagoevgrad:Sandanski,Sandanski,Blagoevgrad,41.56667,23.28333,seniors_65p,9149
Blagoevgrad:Razlog,Razlog,Blagoevgrad,41.8863,23.46714,children_0_6,1056
Blagoevgrad:Razlog,Razlog,Blagoevgrad,41.8863,23.46714,seniors_65p,4007
Blagoevgrad:Polenitsa,Polenitsa,Blagoevgrad,41.56667,23.3,children_0_6,109
Blagoevgrad:Polenitsa,Polenitsa,Blagoevgrad,41.56667,23.3,seniors_65p,415
Blagoevgrad:Petrich,Petrich,Blagoevgrad,41.39846,23.20702,children_0_6,2598
Blagoevgrad:Petrich,Petrich,Blagoevgrad,41.39846,23.20702,seniors_65p,9859
Blagoevgrad:Rupite,Rupite,Blagoevgrad,41.44245,23.24168,children_0_6,88
Blagoevgrad:Rupite,Rupite,Blagoevgrad,41.44245,23.24168,seniors_65p,333
Blagoevgrad:Melnik,Melnik,Blagoevgrad,41.52302,23.39326,children_0_6,21
Blagoevgrad:Melnik,Melnik,Blagoevgrad,41.52302,23.39326,seniors_65p,80
Blagoevgrad:Kresna,Kresna,Blagoevgrad,41.73333,23.15,children_0_6,348
Blagoevgrad:Kresna,Kresna,Blagoevgrad,41.73333,23.15,seniors_65p,1321
Blagoevgrad:Kolarovo,Kolarovo,Blagoevgrad,41.36385,23.10669,children_0_6,144
Blagoevgrad:Kolarovo,Kolarovo,Blagoevgrad,41.36385,23.10669,seniors_65p,545
Blagoevgrad:Hadzhidimovo,Hadzhidimovo,Blagoevgrad,41.52222,23.86861,children_0_6,268
Blagoevgrad:Hadzhidimovo,Hadzhidimovo,Blagoevgrad,41.52222,23.86861,seniors_65p,1016
Blagoevgrad:Garmen,Garmen,Blagoevgrad,41.6,23.81667,children_0_6,155
Blagoevgrad:Garmen,Garmen,Blagoevgrad,41.6,23.81667,seniors_65p,590
Blagoevgrad:Gotse Delchev,Gotse Delchev,Blagoevgrad,41.56667,23.73333,children_0_6,1736
Blagoevgrad:Gotse Delchev,Gotse Delchev,Blagoevgrad,41.56667,23.73333,seniors_65p,6586
Blagoevgrad:Gega,Gega,Blagoevgrad,41.4503,23.00424,children_0_6,21
Blagoevgrad:Gega,Gega,Blagoevgrad,41.4503,23.00424,seniors_65p,80
Blagoevgrad:Gabrovo,Gabrovo,Blagoevgrad,41.89753,22.94498,children_0_6,3
Blagoevgrad:Gabrovo,Gabrovo,Blagoevgrad,41.89753,22.94498,seniors_65p,13
Blagoevgrad:Dzhigurovo,Dzhigurovo,Blagoevgrad,41.55,23.31667,children_0_6,47
Blagoevgrad:Dzhigurovo,Dzhigurovo,Blagoevgrad,41.55,23.31667,seniors_65p,177
Blagoevgrad:Blagoevgrad,Blagoevgrad,Blagoevgrad,42.01457,23.09804,children_0_6,5735
Blagoevgrad:Blagoevgrad,Blagoevgrad,Blagoevgrad,42.01457,23.09804,seniors_65p,21762
Blagoevgrad:Belitsa,Belitsa,Blagoevgrad,41.95077,23.55831,children_0_6,268
Blagoevgrad:Belitsa,Belitsa,Blagoevgrad,41.95077,23.55831,seniors_65p,1016
Blagoevgrad:Bansko,Bansko,Blagoevgrad,41.8361,23.48745,children_0_6,781
Blagoevgrad:Bansko,Bansko,Blagoevgrad,41.8361,23.48745,seniors_65p,2963
Burgas:Sveti Vlas,Sveti Vlas,Burgas,42.7136,27.75867,children_0_6,273
Burgas:Sveti Vlas,Sveti Vlas,Burgas,42.7136,27.75867,seniors_65p,1053
Burgas:Sungurlare,Sungurlare,Burgas,42.76667,26.78333,children_0_6,270
Burgas:Sungurlare,Sungurlare,Burgas,42.76667,26.78333,seniors_65p,1042
Burgas:Sozopol,Sozopol,Burgas,42.41801,27.6956,children_0_6,317
Burgas:Sozopol,Sozopol,Burgas,42.41801,27.6956,seniors_65p,1223
Burgas:Sinemorets,Sinemorets,Burgas,42.06051,27.97497,children_0_6,15
Burgas:Sinemorets,Sinemorets,Burgas,42.06051,27.97497,seniors_65p,59
Burgas:Sarafovo,Sarafovo,Burgas,42.56079,27.52195,children_0_6,232
Burgas:Sarafovo,Sarafovo,Burgas,42.56079,27.52195,seniors_65p,894
Burgas:Ruen,Ruen,Burgas,42.8,27.28333,children_0_6,165
Burgas:Ruen,Ruen,Burgas,42.8,27.28333,seniors_65p,636
